content,replies,retweets,favorites,published_date,polarity,subjectivity
Nope...Dont buy the I need a college degree to become successful BS.It just isnt true anymore..What do you think?.#collegescam #danielalonzo #college #overthinker #entrepreneur_ https://www.instagram.com/p/BqnjUz9FVsB/?utm_source=ig_twitter_share&igshid=1lxetfjsib4kc_,0.0,1,2,11/25/18 13:14,0.55,0.8
#RealShit My uncle jus told me he jus finished paying off his student loans last week.. nigga is 56 years old #CollegeScam,0.0,0,3,2/7/19 10:13,0.05,0.13333333333333333
"If it cost $6 million to bribe elite colleges, including #Yale, #Stanford, #Georgetown and #USC for admission would you do it? #CollegeAdmissionsScam Learn more on @thelauracoates showhttps://abc7news.com/actresses-ceos-charged-in-alleged-college-admissions-scam/5186103/_",2.0,4,3,3/12/19 7:52,0.5,0.5
"""Court records show the actresses and others allegedly paid hefty bribes -- as much as $6 MILLION -- to get their kids into various schools, including Yale, Stanford, Georgetown and the University of Southern California.""https://www.tmz.com/2019/03/12/felicity-huffman-lori-loughlin-arrested-college-admissions-bribery-scam/_#CollegeAdmissionsScam",1.0,2,1,3/12/19 8:14,0.025,0.2
"Heres a question, Twitterverse:  Since they took the place of more qualified applicants,what should happen to the students whose parents allegedly bribed their way into these elite universities? #collegescam",26.0,17,38,3/12/19 8:36,0.2,0.3
There will not be a separate admissions system for the wealthy. And there will not be a separate criminal justice system either. - USA Lelling #AdmissionsScam,491.0,894,2.6K,3/12/19 8:40,0.04999999999999999,0.775
"We want to have debates and lawsuits against affirmative action to deny people of color entry into colleges at the same rate as white students and then you see what the rich, white elite do to get their kids into school...I am sick! #CollegeScam",16.0,48,194,3/12/19 9:05,0.026020408163265292,0.3903061224489796
Worthy Students were not accepted into colleges because of this. Futures were stolen from many children because of the  #collegescam and THAT is the greatest issue in all of this.,4.0,35,146,3/12/19 9:05,0.611111111111111,0.8333333333333334
"White women, stop the jokes downplaying the #collegeadmissionsscandal. This is systemic racism, perpetrated by white people, to continue to steal power. Turn your energy toward supporting #slc50sitin, public ed, equality & equity in schools. #AuntBecky advanced white supremacy.",80.0,126,496,3/12/19 9:34,0.10833333333333334,0.15277777777777776
"This infuriates me so much. I think about all the students who legitimately worked hard to get good grades, test scores, etc and ultimately got shut out of their dream school because of rich parents who bought their kids way in who never should have been there at all #CollegeScam https://twitter.com/AP/status/1105502225789530112_",8.0,70,228,3/12/19 9:46,0.19666666666666666,0.6183333333333334
"Given the scandal emerging today, this graph deserves to be seen again.A rich person with a 900 on their SAT is more likely to graduate with a bachelor's degree than a poor person with a 1500.#collegescam #operationvarsitybluespic.twitter.com/3n5u9U8jdU",18.0,463,653,3/12/19 9:52,0.11875,0.7125
Current situation at college athletic departments around the country and at wealthy homes of the parents who paid for bribes. #CollegeBribeScandal #collegeadmissionsscandal #auntbeckypic.twitter.com/qh0b6eDZe3,12.0,202,697,3/12/19 9:52,0.25,0.7
"THIS is why IRS agents were involved. The man running the #AdmissionsScam had a non-profit that parents would ""donate"" to. You can bet that those parents wrote-off those donations, just compounding the fraud.BOTTOM LINE: The IRS is ALL UP IN William H. Macy's taxes right now! https://twitter.com/davidtanklefsky/status/1105495438961115137_",3.0,26,59,3/12/19 10:23,0.3571428571428571,0.5357142857142857
https://www.justice.gov/file/1142876/download_. All involved parents listed here. Stunning to read the convos #collegescam #collegeadmissionsscandal,16.0,121,255,3/12/19 10:33,0.5,1.0
"They're awful, greedy, entitled people. I won't even allow myself to hope that they'll be punished, because, as we've seen with Manafort, any 'punishment' they get will be ceremonial, at best. #collegeadmissionsscandal",19.0,44,299,3/12/19 10:44,0.01666666666666668,0.55
"This college scam thing is amazing, honestly. They had all the resources to succeed and STILL weren't good enough to be admitted without bribing. #CollegeScam #loriloughlin",10.0,93,426,3/12/19 10:50,0.47500000000000003,0.7250000000000001
